Tier,Game,Original price,Now,Saved $,Discount %,Review % positive,Reviews,Review label,Store URL
AA,Assassin's Creed® Syndicate,$29.99,$5.99,24.0,80,78,10220,positive,https://store.steampowered.com/app/368500/
A,MotoGP™23,$29.99,$5.99,24.0,80,78,747,positive,https://store.steampowered.com/app/2100160/
AA,Echoes of the End: Enhanced Edition,$29.99,$5.99,24.0,80,77,1490,positive,https://store.steampowered.com/app/2821610/
AA,Ad Infinitum,$29.99,$2.99,27.0,90,77,1036,positive,https://store.steampowered.com/app/1234430/
AA,Immortals Fenyx Rising,$29.99,$2.99,27.0,90,72,2082,positive,https://store.steampowered.com/app/2221920/
A,V-Rally 4,$29.99,$2.99,27.0,90,72,717,positive,https://store.steampowered.com/app/658700/
AA,Anno 2205™,$29.99,$4.49,25.5,85,69,3001,mixed,https://store.steampowered.com/app/375910/
A,Crown Wars: The Black Prince,$29.99,$1.49,28.5,95,60,502,mixed,https://store.steampowered.com/app/1658920/
AA,SOULCALIBUR VI,$28.99,$4.63,24.36,84,83,5785,positive,https://store.steampowered.com/app/544750/
AA,ONE PIECE World Seeker,$28.99,$2.89,26.1,90,78,2167,positive,https://store.steampowered.com/app/755500/
A,Espire 1: VR Operative,$28.63,$5.40,23.23,81,54,381,mixed,https://store.steampowered.com/app/669290/
AA,Pathfinder: Wrath of the Righteous - Enhanced Edition,$27.99,$5.59,22.4,80,81,18565,positive,https://store.steampowered.com/app/1184370/
A,Pathfinder: Wrath of the Righteous - Through the Ashes,$27.99,$5.59,22.4,80,60,495,mixed,https://store.steampowered.com/app/1889981/
AA,Warhammer Age of Sigmar: Realms of Ruin,$27.99,$5.59,22.4,80,55,1867,mixed,https://store.steampowered.com/app/1844380/
A,Pathfinder: Wrath of the Righteous - Inevitable Excess,$27.99,$5.59,22.4,80,41,406,mixed,https://store.steampowered.com/app/1889980/
A,Pathfinder: Wrath of the Righteous – The Treasure of the Midnight Isles,$27.99,$5.59,22.4,80,38,507,negative,https://store.steampowered.com/app/2064590/
A,BALAN WONDERWORLD,$26.99,$4.04,22.95,85,55,454,mixed,https://store.steampowered.com/app/1341050/
AA,ONE PUNCH MAN: A HERO NOBODY KNOWS,$25.99,$2.59,23.4,90,53,1692,mixed,https://store.steampowered.com/app/991560/
AA,Classified: France '44,$25.49,$5.09,20.4,80,70,844,positive,https://store.steampowered.com/app/2085370/
AA,Rising Storm 2: Vietnam,$24.99,$2.49,22.5,90,89,26836,positive,https://store.steampowered.com/app/418460/
AA,The Escapists,$24.99,$2.49,22.5,90,89,9357,positive,https://store.steampowered.com/app/298630/
AA,FlatOut: Ultimate Carnage Collector's Edition,$24.99,$4.99,20.0,80,87,2102,positive,https://store.steampowered.com/app/12360/
AA,Worms Revolution,$24.99,$4.99,20.0,80,83,2239,positive,https://store.steampowered.com/app/200170/
AA,Yonder: The Cloud Catcher Chronicles,$24.99,$4.99,20.0,80,81,1546,positive,https://store.steampowered.com/app/580200/
AA,Narita Boy,$24.99,$2.49,22.5,90,79,1162,positive,https://store.steampowered.com/app/1069530/
