Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Iron Fisticle,85,$4.99,$0.74,85,353,positive,https://store.steampowered.com/app/306700/
Nauts,85,$4.99,$0.74,100,10,positive,https://store.steampowered.com/app/2845520/
Super Jigsaw Puzzle: Anime Reloaded,85,$4.99,$0.74,78,19,positive,https://store.steampowered.com/app/1024490/
Explodemon,85,$4.99,$0.74,60,65,mixed,https://store.steampowered.com/app/281820/
LA Cops,85,$4.99,$0.74,52,127,mixed,https://store.steampowered.com/app/278810/
RIDE 4 - Superbikes 2000,85,$4.99,$0.74,,,,https://store.steampowered.com/app/1365150/
RIDE 4 - Italian Style Pack 1,85,$4.99,$0.74,,,,https://store.steampowered.com/app/1365170/
RIDE 4 - Street Kings,85,$4.99,$0.74,,,,https://store.steampowered.com/app/1365310/
RIDE 4 - Naked Japan Style,85,$4.99,$0.74,,,,https://store.steampowered.com/app/1365350/
RIDE 4 - Best Vintage 80's - 90's,85,$4.99,$0.74,,,,https://store.steampowered.com/app/1365210/
MXGP 2021 - Credits Multiplier,85,$4.99,$0.74,,,,https://store.steampowered.com/app/1722430/
Super Jigsaw Puzzle: Generations - Forests,85,$4.99,$0.74,,,,https://store.steampowered.com/app/3543840/
Super Jigsaw Puzzle: Generations - Scenic Villages,85,$4.99,$0.74,,,,https://store.steampowered.com/app/3543790/
Super Jigsaw Puzzle: Generations - Sweden,85,$4.99,$0.74,,,,https://store.steampowered.com/app/3802190/
