Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Mine the Gold,89,$4.50,$0.49,45,59,mixed,https://store.steampowered.com/app/1054930/
Muscle Car Robot,89,$4.50,$0.49,46,13,mixed,https://store.steampowered.com/app/1058500/
Diastone: Confusion,89,$4.50,$0.49,47,17,mixed,https://store.steampowered.com/app/1106670/
Snow Clearing Driving Simulator,89,$4.50,$0.49,60,23,mixed,https://store.steampowered.com/app/1155920/
Extreme Offroad Monster Simulator,89,$4.50,$0.49,51,27,mixed,https://store.steampowered.com/app/1164440/
Angry Bunny,89,$4.50,$0.49,61,34,mixed,https://store.steampowered.com/app/1168650/
Who is the hero of this Game,89,$4.50,$0.49,61,26,mixed,https://store.steampowered.com/app/1917310/
Extreme Truck Simulator,89,$4.50,$0.49,53,39,mixed,https://store.steampowered.com/app/1020600/
Down To One,89,$4.50,$0.49,35,1606,negative,https://store.steampowered.com/app/334040/
Robotex,89,$4.50,$0.49,30,745,negative,https://store.steampowered.com/app/330350/
Restaurant Tycoon,89,$4.50,$0.49,11,17,negative,https://store.steampowered.com/app/753670/
Labyrinth Escape,89,$4.50,$0.49,8,12,negative,https://store.steampowered.com/app/654950/
Human Madness,89,$4.49,$0.49,,,,https://store.steampowered.com/app/1749170/
Naklua VR,89,$4.50,$0.49,,,,https://store.steampowered.com/app/650980/
Bocce Beach,89,$4.50,$0.49,,,,https://store.steampowered.com/app/569940/
Goblin Harvest - The Mighty Quest,89,$4.50,$0.49,,,,https://store.steampowered.com/app/604060/
VADE RETRO SATANA,89,$4.49,$0.49,,,,https://store.steampowered.com/app/3961220/
Sizeable,89,$4.69,$0.51,96,884,positive,https://store.steampowered.com/app/1333910/
Gorilla Showdown,89,$4.69,$0.51,100,10,positive,https://store.steampowered.com/app/3217900/
Journey to Alien Worlds,89,$4.69,$0.51,95,44,positive,https://store.steampowered.com/app/628960/
Raiders of Valhalla,89,$6.49,$0.71,68,70,mixed,https://store.steampowered.com/app/2298620/
Battlezone Gold Edition,89,$11.99,$1.31,79,400,positive,https://store.steampowered.com/app/312650/
Fluffy Kitchen Saga,88,$3.99,$0.47,65,221,mixed,https://store.steampowered.com/app/3706590/
Muddledash,88,$3.99,$0.47,90,62,positive,https://store.steampowered.com/app/769840/
SFERA,88,$3.99,$0.47,83,12,positive,https://store.steampowered.com/app/608380/
